Assemblage_Name	9397319-2-3442381	4-2-4036190	351282-2-1	1177321-2-5875327	1177321-2-2405787	2044772-3-1377111	1351906-3-3	2044772-3-7277191	2764325-2-1	9397319-2-1	1177321-5318229-1	4-9219943-1	1901310-2793680-1	4-2-8463685	4-2776555-1	5674666-7879634-3	4-9892903-1	4-5920386-1	5971746-3-3	2630717-3-3	9397319-956744-1	4-8544291-1	3955301-2-1	4670479-2-1	1177321-2-596139	4-2-5242763	7936917-3-3	2615639-2-1	4-4516826-1	7846095-2-1	2044772-8704327-3	2044772-7879634-3	2044772-4072901-3	2044772-3-2231393	2044772-7798156-3	7776613-3-3	6414173-3-3	5607397-2-1	4-2-885872	2044772-1510584-3	4-2-8328316	1177321-4372550-1	5772582-2-1	2044772-3-5568093	1177321-4128804-1	2044772-9328008-3	1901310-2-6409583	4-2-8875755	1177321-2916572-1	1177321-6906685-1	1177321-501759-1	2044772-3-365094	2044772-3-4481471	9312415-2-1	4-4826870-377818	7513005-2-1	2044772-3-7329481	4-2-8902551	2044772-7879634-470437	1177321-9616941-1	2044772-2931399-3	2044772-3286488-3	4-2-5227251	3575192-3-3	1177321-2-3841187	3311363-2-0	8395902-2-1	7869847-2-1	2507020-2-1	4-2-2620276	952520-2-1	9146222-3-3	4-7467625-1	2044772-4153684-3	2044772-9898251-3	1177321-2-4716253	9739345-3-3707594	8514563-2-1	4978196-3-3	4-4885124-1	8285002-2-1	1177321-2-2050933	1177321-7954190-1	5630793-2-6013282	2044772-3-4026225	4-3175700-1	5320036-2-1	3482532-2-1	1177321-2-6456080	4-5059862-1	2044772-7879634-942948	2044772-1230415-3	4-4621264-1	1177321-2-1926107	2044772-512984-3	1798849-3-3	4-5864272-1	4-657757-1	1177321-2-1717881	4-2-7386590	9256714-2-377818	2044772-3-7221598	4-2-9115082	4-2-7740265	4148473-2-1	4-1028509-1	1217943-3-3	4080731-3-3	2044772-3-2738724	4-976142-1	4557232-3-3	1409862-2-1	4665529-3-3	1498946-2-1	1177321-2-3429423	4163694-2-1	1177321-2-295744	1177321-3144748-1	7974157-2-1	1177321-2-275672	1177321-5198796-1	2044772-3968690-3	2044772-3-6890726	6461681-2-1	1760251-3-3	4-1799442-377818	9739345-3-7822173	2044772-3-5310534	4-7913354-1	4-8331737-1	7738609-2-1	7571384-2-1	1177321-2-1	4-2-4514120	1177321-2-2340964	1177321-5649696-1	7423835-2-1	2768017-3-3	1177321-2-5542532	1177321-2904089-1	2044772-3-882922	1177321-4576673-1	1177321-2-3051375	2044772-3-2002754	9490876-3-3	3765332-2-1	4-2-826028	1177321-2-3554816	4-8092426-1	2044772-3-385748	7798534-2-1	9194320-2-1	437058-2-1	1177321-8107571-1	4-2-7012822	4-9424477-1	1465616-2-1	6129830-3-3	1177321-3280074-1	653488-2-6013282	2044772-6131559-3	2044772-2144410-3	1901310-200428-1	4-8443182-1	4-6453495-377818	5027411-3-3	3857443-2-1	1177321-2-4597340	2044772-7879634-6253517	1177321-2-5959227	7919967-2-1	2044772-8200927-3	2044772-7879634-5871299	4-2-8613233	3502465-3-3	1177321-2-6859625	2044772-669034-3	1177321-2-3142850	4-2-3654817	8721865-3-3	1177321-2-1677549	1177321-737564-1	729900-2-1	1177321-2-5930820	1177321-4402556-1	1177321-2-514627	7083000-2-377818	4-2-4739747	6049875-2-1	1177321-2-1282877	1177321-2-6013282	1177321-2-5638812	2044772-9308633-3	4-2-1455039	1177321-4346160-1	2256881-2-1	1177321-2-2693799	4-2-8732962	4-2-3692822	3656878-3-3	2456310-2-9822526	1372830-2-1	1901310-5272411-1	1177321-3966148-1	5677043-3-3	4-2-9072942	4-8421463-1	4149546-2-1	7387981-2-1	7363977-2-1	5951174-2-1	4-6190256-1	4-2-8956873	2044772-4840764-3	8257684-2-1	7440453-2-1	1901310-3060478-1	4-2-6997344	1459933-2-1	8348817-2-1	3204953-3-3	1901310-8550229-1	9739345-3-6341184	3309958-2-1	1177321-2-5892305	2044772-3-1060968	4-3768663-1	4-2-1031007	2044772-3-9178141	1465616-8004242-1	9397319-2-1190509	4-2-2763168	4-2509652-377818	9093816-2-377818	9149068-2-1	4-2-3125294	9397319-4155949-1	2044772-4308032-3	6698896-3-3	9385172-2-1	1177321-2-6812096	1177321-4371768-1	7835887-3-3	2563848-2-1	2044772-8508371-3	4-2-3398431	4-7647284-1	2044772-489812-3	7992369-2-1	5318232-2-1	395253-2-1	2044772-3-3591053	4-1255840-1	4110690-2-0	4922577-2-1	8846991-2-1	2044772-3-3	4724708-2-1	4-9025673-1	4-9293805-1	7969031-2-1	9397319-5649894-1	1177321-2-3502112	1177321-4252334-1	1901310-5840434-1	1177321-2-9870021	1177321-2-567046	8538723-2-1	4-2-1263520	2044772-2392081-3	2044772-3-1360129	4-2-2185925	1883814-3-3	9397319-4115158-1	2044772-3-4647793	8265639-2-1	1177321-2-5191782	4-2-232178	1177321-649577-1	2044772-9651361-3	4-2-2493676	1177321-2-318748	1177321-2-6026515	6320292-2-1	8651088-3-3	1177321-2-4515606	4-740052-1	985836-2-1	1177321-901069-1	4-2-377818	1177321-2-4439783	8200657-2-1	5199146-2-1	9397319-4496686-1	2044772-8369118-3	4-2-9074126	9072060-2-377818	1901310-2-2058029	7240932-2-1	1177321-7534662-1	2044772-3-6432686	1177321-2-1335158	1177321-2-2844148	1719621-2-1	2544052-2-1	2044772-3-4447432	4974311-3-3	1177321-9166550-1	4740082-2-1	4-4905535-1	7933248-2-1	5421973-2-1	4-2-3767562	4-2-1154371	1177321-9140575-1	5609788-3-3	4-2-5982238	1177321-9451344-1	3766582-2-1	5328645-3-3	9739345-3-3	2044772-7628376-3	1177321-2311052-1	1177321-7472916-1	1044920-3-3	4-909995-1	4-2-1575858	5453718-2-1	2044772-7879634-4769128	4-2-1984966	3382521-2-1	9737679-3-3	268296-3-3	4-2-1	2044772-8426179-3	1177321-489593-1	4-2-5452459	1177321-2571944-1	9397319-2-1399684	2432916-3-3	4-3938497-377818	4-2181396-1	1901310-2-9822526	4-101005-1	1901310-2-3720237	6506412-3-3	1177321-6676799-1	7102401-2-1	8069923-2-1	4-2-3211490	1901310-4792455-9822526	9812466-3-3	5863126-2-1	1177321-3965232-1	1177321-469195-1	2044772-3-7622384	1901310-2-1	4-2-9317100	4635404-3-3	4-2977111-1	1177321-9453440-1	1177321-2-9026058	1177321-1635793-1	4-8847570-1	1181844-2-1	5253710-3-3	9397319-2-1192693	7475971-2-1	1177321-6399793-1	3880136-2-1	1177321-2422776-1	3087450-2-1	1177321-2-8226766	4-2-2437699	2044772-2618096-3	4862499-2-1	9114756-2-1	9712439-3-3	4922840-2-1	1708197-2-1	6292596-2-1	1177321-9923127-1	48370-2-0	1177321-1169445-1	2044772-7879634-6611792	4-2609226-1	4-1004881-1	10295-2-1	3907882-2-1	1901310-2-4150152	3087450-7159983-1	1383745-2-1	9397319-2-7774019	4-1022821-377818	7755559-3-3	4-2-5141762	2044772-3-4851876	48370-6142603-0	1177321-2-5655651	1177321-2-9798874	4671344-3-3	2044772-2644174-3	2044772-3-8704602	9397319-9924888-1	9739345-8840971-3	2044772-7879634-3784156	4-2-625484	5363047-7879634-3	4074112-3-3	4-2-1783060	2044772-3-8812713	9842580-3-3	4-5539871-1	3141751-3-3	1177321-9204944-1	1177321-9418631-1	1177321-9744174-1	4077041-7879634-3
assemblage-6-6	0	0	0	0	0	0	0	0	0	3351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6852	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1590	4	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4275	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	1018	0	0	0	0	0	0	27	0	0	0	38	0	0	0	0	0	0	0	12	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-15-17	0	0	2	0	0	0	0	0	0	2394	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11466	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	17	0	0	1	0	0	53	0	0	51	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2336	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1816	0	0	0	0	0	0	0	0	259	0	0	0	1	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	260	0	0	0	0	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-12	1	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3620	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	3687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-43-1	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3555	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	3427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-14	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3439	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	85	3662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-20-8	0	0	0	0	0	0	0	0	0	2705	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11025	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	44	0	0	1	0	0	48	0	0	40	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	177	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2517	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1865	0	0	0	0	0	0	0	0	296	0	0	0	0	2	0	0	2	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	344	0	0	0	0	502	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-10-15	0	0	0	0	0	0	62	0	6	0	0	3	0	0	0	7	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	4039	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5691	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	17649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	84	0	0	0	0	0	0	0	0	0	0	902	0	0	0	0	0	0	0	1	0	0	0	0	16276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1139	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0
assemblage-23-14	0	0	0	0	0	0	39	0	16	0	0	1	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	3851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	17697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	715	0	0	0	0	0	0	0	0	0	0	0	0	16384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1235	0	13	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-36-13	0	1	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	3739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8	0	17277	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	979	0	0	0	0	0	0	0	0	0	0	0	0	17169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0
assemblage-18-2	0	0	0	0	0	0	53	0	5	0	0	2	0	0	0	22	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	4209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5560	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	3	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	16720	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	1	0	0	0	806	0	0	0	0	0	0	0	0	0	0	0	0	17256	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1122	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-23-18	0	0	0	0	0	0	0	0	0	2405	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	11202	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	22	0	0	3	0	0	28	0	0	22	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2569	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2124	0	0	0	0	0	0	0	0	233	0	0	0	0	5	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	296	0	0	0	0	525	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
assemblage-45-2	0	0	0	0	0	0	0	0	0	2543	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10815	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	1	0	0	8	0	0	62	0	0	14	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2571	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2375	0	0	0	0	0	0	0	0	172	0	0	0	0	3	0	0	0	0	0	0	0	0	334	0	0	0	1	0	0	0	0	0	323	0	0	1	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
